fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-1.10,0,0,11,0.5,3,0.13636363636363635,3,3,0,0,1
-9.40,4,0,13,0.5909090909090909,13,0.5909090909090909,14,8,5,-1,1
-4.60,5,0,12,0.5217391304347826,14,0.6086956521739131,22,7,4,1,1
-1.10,0,0,11,0.5,3,0.13636363636363635,3,3,0,0,1
-7.40,3,0,13,0.5909090909090909,14,0.6363636363636364,19,6,5,-2,1
-10.90,6,1,8,0.36363636363636365,7,0.3181818181818182,7,7,0,6,1
-14.80,3,0,12,0.5454545454545454,11,0.5,12,7,1,2,1
-6.60,3,0,13,0.5909090909090909,9,0.4090909090909091,13,9,0,3,1
-17.80,5,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,5,1
-12.40,0,0,13,0.5909090909090909,10,0.45454545454545453,15,7,7,-7,1
-21.70,6,1,13,0.5909090909090909,17,0.7727272727272727,19,17,3,3,1
-6.80,0,0,14,0.6086956521739131,9,0.391304347826087,10,5,4,-4,1
-12.50,5,0,11,0.5,15,0.6818181818181818,21,5,4,1,1
-11.70,3,0,13,0.5909090909090909,9,0.4090909090909091,9,9,0,3,1
-12.10,4,0,14,0.6363636363636364,14,0.6363636363636364,17,11,1,3,1
-8.90,5,0,14,0.6363636363636364,13,0.5909090909090909,22,6,2,3,1
-3.80,0,0,14,0.6363636363636364,8,0.36363636363636365,10,6,2,-2,1
-13.40,1,0,12,0.5454545454545454,12,0.5454545454545454,17,6,4,-3,1
-14.20,4,0,13,0.5909090909090909,15,0.6818181818181818,17,8,4,0,1
-7.90,5,0,14,0.6086956521739131,6,0.2608695652173913,6,6,0,5,1
-9.70,4,0,12,0.5454545454545454,12,0.5454545454545454,17,5,4,0,1
-26.30,6,1,13,0.5909090909090909,16,0.7272727272727273,17,16,1,5,1
-26.20,5,0,9,0.4090909090909091,18,0.8181818181818182,21,7,6,-1,1
-22.80,4,0,11,0.55,15,0.75,15,10,5,-1,1
-18.60,0,0,13,0.5652173913043478,12,0.5217391304347826,12,6,6,-6,1
-11.70,0,0,13,0.5909090909090909,9,0.4090909090909091,10,4,4,-4,1
-20.90,4,0,9,0.47368421052631576,12,0.631578947368421,13,6,4,0,1
-20.20,3,0,13,0.5909090909090909,15,0.6818181818181818,15,12,4,-1,1
